tanggal,konfirmasi_total,konfirmasi_sembuh,konfirmasi_meninggal,konfirmasi_aktif
2022-01-05 00:00:00,94822,93794,1016,12
2022-01-06 00:00:00,94825,93797,1016,12
2022-01-07 00:00:00,94830,93798,1016,16
2022-01-08 00:00:00,94837,93801,1016,20
2022-01-09 00:00:00,94840,93809,1016,15
2022-01-10 00:00:00,94843,93815,1016,12
2022-01-11 00:00:00,94860,93819,1016,25
2022-01-12 00:00:00,94871,93823,1016,32
2022-01-13 00:00:00,94886,93824,1016,46
2022-01-14 00:00:00,94923,93824,1016,83
2022-01-15 00:00:00,94951,93832,1016,103
2022-01-16 00:00:00,94972,93846,1016,110
2022-01-17 00:00:00,94995,93846,1016,133
2022-01-18 00:00:00,95078,93868,1016,194
2022-01-19 00:00:00,95165,93868,1016,281
2022-01-20 00:00:00,95259,93877,1016,366
2022-01-21 00:00:00,95393,93889,1016,488
2022-01-22 00:00:00,95544,93905,1016,623
2022-01-23 00:00:00,95666,93920,1016,730
2022-01-24 00:00:00,95777,93942,1016,819
2022-01-25 00:00:00,96165,93980,1016,1169
2022-01-26 00:00:00,96601,94639,1016,946
2022-01-27 00:00:00,97093,94639,1016,1438
2022-01-28 00:00:00,97724,94749,1016,1959
2022-01-29 00:00:00,98413,95134,1016,2263
2022-01-30 00:00:00,99310,95574,1016,2720
2022-01-31 00:00:00,99940,96064,1016,2860
2022-02-01 00:00:00,101165,96691,1016,3458
2022-02-02 00:00:00,102425,96693,1016,4716
2022-02-03 00:00:00,104599,96693,1016,6890
2022-02-04 00:00:00,106668,96693,1016,8959
2022-02-05 00:00:00,109164,96694,1016,11454
2022-02-06 00:00:00,111253,96694,1016,13543
2022-02-07 00:00:00,112992,96779,1016,15197
2022-02-08 00:00:00,115313,97368,1017,16928
2022-02-09 00:00:00,118332,97368,1020,19944
2022-02-10 00:00:00,120607,98477,1020,21110
2022-02-11 00:00:00,122834,98893,1020,22921
2022-02-12 00:00:00,126178,99024,1020,26134
2022-02-13 00:00:00,128703,99040,1020,28643
2022-02-14 00:00:00,130953,99205,1020,30728
2022-02-15 00:00:00,134128,102842,1020,30266
